Precision and Recall Values for every query in the TF_IDF:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-1523  NR         1     0.0        0.0       
1          CACM-1033  NR         2     0.0        0.0       
1          CACM-2319  NR         3     0.0        0.0       
1          CACM-2380  NR         4     0.0        0.0       
1          CACM-1264  NR         5     0.0        0.0       
1          CACM-1591  NR         6     0.0        0.0       
1          CACM-1393  NR         7     0.0        0.0       
1          CACM-2379  NR         8     0.0        0.0       
1          CACM-1304  NR         9     0.0        0.0       
1          CACM-1440  NR         10    0.0        0.0       
1          CACM-2629  NR         11    0.0        0.0       
1          CACM-2357  NR         12    0.0        0.0       
1          CACM-1657  NR         13    0.0        0.0       
1          CACM-1544  NR         14    0.0        0.0       
1          CACM-1749  NR         15    0.0        0.0       
1          CACM-1519  NR         16    0.0        0.0       
1          CACM-2984  NR         17    0.0        0.0       
1          CACM-1626  NR         18    0.0        0.0       
1          CACM-2747  NR         19    0.0        0.0       
1          CACM-2542  NR         20    0.0        0.0       
1          CACM-2371  NR         21    0.0        0.0       
1          CACM-3127  NR         22    0.0        0.0       
1          CACM-2126  NR         23    0.0        0.0       
1          CACM-3087  NR         24    0.0        0.0       
1          CACM-2948  NR         25    0.0        0.0       
1          CACM-1938  NR         26    0.0        0.0       
1          CACM-1605  R          27    0.04       0.2       
1          CACM-2955  NR         28    0.04       0.2       
1          CACM-1827  NR         29    0.03       0.2       
1          CACM-1680  NR         30    0.03       0.2       
1          CACM-1226  NR         31    0.03       0.2       
1          CACM-1506  NR         32    0.03       0.2       
1          CACM-2560  NR         33    0.03       0.2       
1          CACM-2153  NR         34    0.03       0.2       
1          CACM-1161  NR         35    0.03       0.2       
1          CACM-1542  NR         36    0.03       0.2       
1          CACM-2740  NR         37    0.03       0.2       
1          CACM-1179  NR         38    0.03       0.2       
1          CACM-2398  NR         39    0.03       0.2       
1          CACM-1247  NR         40    0.03       0.2       
1          CACM-1719  NR         41    0.02       0.2       
1          CACM-3068  NR         42    0.02       0.2       
1          CACM-0202  NR         43    0.02       0.2       
1          CACM-1571  NR         44    0.02       0.2       
1          CACM-1173  NR         45    0.02       0.2       
1          CACM-2917  NR         46    0.02       0.2       
1          CACM-1464  NR         47    0.02       0.2       
1          CACM-3023  NR         48    0.02       0.2       
1          CACM-2188  NR         49    0.02       0.2       
1          CACM-1885  NR         50    0.02       0.2       
1          CACM-1482  NR         51    0.02       0.2       
1          CACM-2681  NR         52    0.02       0.2       
1          CACM-0275  NR         53    0.02       0.2       
1          CACM-2796  NR         54    0.02       0.2       
1          CACM-1315  NR         55    0.02       0.2       
1          CACM-1195  NR         56    0.02       0.2       
1          CACM-1937  NR         57    0.02       0.2       
1          CACM-2764  NR         58    0.02       0.2       
1          CACM-3012  NR         59    0.02       0.2       
1          CACM-2087  NR         60    0.02       0.2       
1          CACM-1589  NR         61    0.02       0.2       
1          CACM-1505  NR         62    0.02       0.2       
1          CACM-1502  NR         63    0.02       0.2       
1          CACM-0594  NR         64    0.02       0.2       
1          CACM-0252  NR         65    0.02       0.2       
1          CACM-2169  NR         66    0.02       0.2       
1          CACM-1518  NR         67    0.01       0.2       
1          CACM-2632  NR         68    0.01       0.2       
1          CACM-3131  NR         69    0.01       0.2       
1          CACM-2947  NR         70    0.01       0.2       
1          CACM-0656  NR         71    0.01       0.2       
1          CACM-1959  NR         72    0.01       0.2       
1          CACM-0414  NR         73    0.01       0.2       
1          CACM-1238  NR         74    0.01       0.2       
1          CACM-2878  NR         75    0.01       0.2       
1          CACM-1698  NR         76    0.01       0.2       
1          CACM-2054  NR         77    0.01       0.2       
1          CACM-1735  NR         78    0.01       0.2       
1          CACM-3089  NR         79    0.01       0.2       
1          CACM-2064  NR         80    0.01       0.2       
1          CACM-2365  NR         81    0.01       0.2       
1          CACM-2541  NR         82    0.01       0.2       
1          CACM-1163  NR         83    0.01       0.2       
1          CACM-2951  NR         84    0.01       0.2       
1          CACM-1744  NR         85    0.01       0.2       
1          CACM-2868  NR         86    0.01       0.2       
1          CACM-2501  NR         87    0.01       0.2       
1          CACM-1444  NR         88    0.01       0.2       
1          CACM-1682  NR         89    0.01       0.2       
1          CACM-1225  NR         90    0.01       0.2       
1          CACM-0284  NR         91    0.01       0.2       
1          CACM-1647  NR         92    0.01       0.2       
1          CACM-1923  NR         93    0.01       0.2       
1          CACM-0294  NR         94    0.01       0.2       
1          CACM-0637  NR         95    0.01       0.2       
1          CACM-1515  NR         96    0.01       0.2       
1          CACM-2950  NR         97    0.01       0.2       
1          CACM-2581  NR         98    0.01       0.2       
1          CACM-1484  NR         99    0.01       0.2       
1          CACM-1034  NR         100   0.01       0.2       

2          CACM-3059  NR         1     0.0        0.0       
2          CACM-1931  NR         2     0.0        0.0       
2          CACM-1619  NR         3     0.0        0.0       
2          CACM-0727  NR         4     0.0        0.0       
2          CACM-1364  NR         5     0.0        0.0       
2          CACM-1062  NR         6     0.0        0.0       
2          CACM-3202  NR         7     0.0        0.0       
2          CACM-3129  NR         8     0.0        0.0       
2          CACM-3034  NR         9     0.0        0.0       
2          CACM-2147  NR         10    0.0        0.0       
2          CACM-0335  NR         11    0.0        0.0       
2          CACM-1977  NR         12    0.0        0.0       
2          CACM-2939  NR         13    0.0        0.0       
2          CACM-1387  NR         14    0.0        0.0       
2          CACM-1488  NR         15    0.0        0.0       
2          CACM-1379  NR         16    0.0        0.0       
2          CACM-1122  NR         17    0.0        0.0       
2          CACM-2735  NR         18    0.0        0.0       
2          CACM-1764  NR         19    0.0        0.0       
2          CACM-2439  NR         20    0.0        0.0       
2          CACM-0408  NR         21    0.0        0.0       
2          CACM-0626  NR         22    0.0        0.0       
2          CACM-0531  NR         23    0.0        0.0       
2          CACM-0857  NR         24    0.0        0.0       
2          CACM-1870  NR         25    0.0        0.0       
2          CACM-3195  NR         26    0.0        0.0       
2          CACM-1264  NR         27    0.0        0.0       
2          CACM-1272  NR         28    0.0        0.0       
2          CACM-3028  NR         29    0.0        0.0       
2          CACM-1713  NR         30    0.0        0.0       
2          CACM-1046  NR         31    0.0        0.0       
2          CACM-2523  NR         32    0.0        0.0       
2          CACM-1464  NR         33    0.0        0.0       
2          CACM-2918  NR         34    0.0        0.0       
2          CACM-2888  NR         35    0.0        0.0       
2          CACM-2993  NR         36    0.0        0.0       
2          CACM-1045  NR         37    0.0        0.0       
2          CACM-1868  NR         38    0.0        0.0       
2          CACM-2905  NR         39    0.0        0.0       
2          CACM-1884  NR         40    0.0        0.0       
2          CACM-1243  NR         41    0.0        0.0       
2          CACM-2900  NR         42    0.0        0.0       
2          CACM-3103  NR         43    0.0        0.0       
2          CACM-3158  NR         44    0.0        0.0       
2          CACM-2039  NR         45    0.0        0.0       
2          CACM-2815  NR         46    0.0        0.0       
2          CACM-0394  NR         47    0.0        0.0       
2          CACM-0526  NR         48    0.0        0.0       
2          CACM-0853  NR         49    0.0        0.0       
2          CACM-1105  NR         50    0.0        0.0       
2          CACM-1138  NR         51    0.0        0.0       
2          CACM-2933  NR         52    0.0        0.0       
2          CACM-2664  NR         53    0.0        0.0       
2          CACM-2253  NR         54    0.0        0.0       
2          CACM-2771  NR         55    0.0        0.0       
2          CACM-1564  NR         56    0.0        0.0       
2          CACM-2899  NR         57    0.0        0.0       
2          CACM-0204  NR         58    0.0        0.0       
2          CACM-0798  NR         59    0.0        0.0       
2          CACM-0820  NR         60    0.0        0.0       
2          CACM-1140  NR         61    0.0        0.0       
2          CACM-2572  NR         62    0.0        0.0       
2          CACM-1184  NR         63    0.0        0.0       
2          CACM-2998  NR         64    0.0        0.0       
2          CACM-2352  NR         65    0.0        0.0       
2          CACM-2976  NR         66    0.0        0.0       
2          CACM-2896  NR         67    0.0        0.0       
2          CACM-3201  NR         68    0.0        0.0       
2          CACM-2052  NR         69    0.0        0.0       
2          CACM-1753  NR         70    0.0        0.0       
2          CACM-3197  NR         71    0.0        0.0       
2          CACM-0372  NR         72    0.0        0.0       
2          CACM-0171  NR         73    0.0        0.0       
2          CACM-0363  NR         74    0.0        0.0       
2          CACM-1104  NR         75    0.0        0.0       
2          CACM-1131  NR         76    0.0        0.0       
2          CACM-1139  NR         77    0.0        0.0       
2          CACM-1702  NR         78    0.0        0.0       
2          CACM-2194  NR         79    0.0        0.0       
2          CACM-0637  NR         80    0.0        0.0       
2          CACM-2577  NR         81    0.0        0.0       
