Precision and Recall Values for every query in the TF_IDF_Stopped:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-2319  NR         1     0.0        0.0       
1          CACM-1591  NR         2     0.0        0.0       
1          CACM-1519  NR         3     0.0        0.0       
1          CACM-2379  NR         4     0.0        0.0       
1          CACM-2629  NR         5     0.0        0.0       
1          CACM-1523  NR         6     0.0        0.0       
1          CACM-1680  NR         7     0.0        0.0       
1          CACM-2380  NR         8     0.0        0.0       
1          CACM-1544  NR         9     0.0        0.0       
1          CACM-1749  NR         10    0.0        0.0       
1          CACM-1033  NR         11    0.0        0.0       
1          CACM-1605  R          12    0.08       0.2       
1          CACM-1264  NR         13    0.08       0.2       
1          CACM-2740  NR         14    0.07       0.2       
1          CACM-2948  NR         15    0.07       0.2       
1          CACM-1657  NR         16    0.06       0.2       
1          CACM-2542  NR         17    0.06       0.2       
1          CACM-1161  NR         18    0.06       0.2       
1          CACM-2371  NR         19    0.05       0.2       
1          CACM-2984  NR         20    0.05       0.2       
1          CACM-3048  NR         21    0.05       0.2       
1          CACM-1173  NR         22    0.05       0.2       
1          CACM-1304  NR         23    0.04       0.2       
1          CACM-1571  NR         24    0.04       0.2       
1          CACM-3127  NR         25    0.04       0.2       
1          CACM-2357  NR         26    0.04       0.2       
1          CACM-2868  NR         27    0.04       0.2       
1          CACM-2632  NR         28    0.04       0.2       
1          CACM-3012  NR         29    0.03       0.2       
1          CACM-0585  NR         30    0.03       0.2       
1          CACM-2188  NR         31    0.03       0.2       
1          CACM-2560  NR         32    0.03       0.2       
1          CACM-1827  NR         33    0.03       0.2       
1          CACM-1719  NR         34    0.03       0.2       
1          CACM-1440  NR         35    0.03       0.2       
1          CACM-1885  NR         36    0.03       0.2       
1          CACM-1506  NR         37    0.03       0.2       
1          CACM-1518  NR         38    0.03       0.2       
1          CACM-1179  NR         39    0.03       0.2       
1          CACM-1542  NR         40    0.03       0.2       
1          CACM-1844  NR         41    0.02       0.2       
1          CACM-3025  NR         42    0.02       0.2       
1          CACM-1534  NR         43    0.02       0.2       
1          CACM-1482  NR         44    0.02       0.2       
1          CACM-0252  NR         45    0.02       0.2       
1          CACM-2955  NR         46    0.02       0.2       
1          CACM-1168  NR         47    0.02       0.2       
1          CACM-2920  NR         48    0.02       0.2       
1          CACM-3087  NR         49    0.02       0.2       
1          CACM-3023  NR         50    0.02       0.2       
1          CACM-1195  NR         51    0.02       0.2       
1          CACM-1960  NR         52    0.02       0.2       
